Task ID,model_created,Correctness,original correctness,naive correctness,annotated correctness,annotated correctness simple,naive no fsl correctness
15,gpt-4o,True,True,True,True,True,True
15,llama3-70b,True,True,True,True,True,True
21,gpt-4o,True,True,True,False,True,True
21,llama3-70b,True,False,True,True,True,True
22,gpt-4o,True,False,True,True,True,True
22,llama3-70b,True,False,True,True,True,True
31,gpt-4o,True,False,True,True,True,True
31,llama3-70b,True,False,True,True,True,True
45,gpt-4o,True,False,True,True,True,True
45,llama3-70b,True,False,True,False,True,True
50,gpt-4o,True,True,True,True,True,True
50,llama3-70b,True,False,True,True,True,True
67,gpt-4o,True,False,True,False,True,True
67,llama3-70b,True,False,True,True,True,True
69,gpt-4o,False,False,False,False,True,False
69,llama3-70b,True,False,True,True,True,True
102,gpt-4o,True,True,True,True,True,True
102,llama3-70b,True,False,True,True,True,True
106,gpt-4o,True,False,True,True,True,True
106,llama3-70b,True,False,True,True,True,True
108,gpt-4o,True,False,True,True,True,True
108,llama3-70b,True,False,True,True,True,True
112,gpt-4o,False,False,True,False,True,True
112,llama3-70b,True,False,True,False,True,False
113,gpt-4o,True,True,True,True,True,True
113,llama3-70b,False,False,True,True,True,True
135,gpt-4o,True,False,True,True,True,True
135,llama3-70b,True,True,True,True,True,True
136,gpt-4o,True,True,True,True,True,True
136,llama3-70b,True,False,True,True,True,True
157,gpt-4o,True,True,True,True,True,True
157,llama3-70b,True,True,True,True,True,True
160,gpt-4o,True,False,True,True,True,True
160,llama3-70b,True,False,True,True,True,True
192,gpt-4o,True,False,True,True,True,True
192,llama3-70b,True,False,True,False,True,False
203,gpt-4o,True,True,True,True,True,True
203,llama3-70b,True,False,True,True,True,True
227,gpt-4o,True,False,True,True,True,False
227,llama3-70b,True,False,True,True,True,True
232,gpt-4o,True,True,True,True,True,True
232,llama3-70b,True,False,True,True,True,True
240,gpt-4o,True,False,True,True,True,False
240,llama3-70b,True,False,True,True,True,True
259,gpt-4o,True,True,True,True,True,True
259,llama3-70b,True,False,True,True,True,True
267,gpt-4o,True,False,True,True,True,True
267,llama3-70b,True,False,True,True,True,True
271,gpt-4o,True,True,True,True,True,True
271,llama3-70b,True,True,True,True,True,True
